Wavelength [nm]	Absorbance/Fluorescence	Baseline counts	Sample counts
499,982697	-0,227037	233,000000	393,000000
500,183685	-0,227723	235,000000	397,000000
500,384674	-0,226907	239,000000	403,000000
500,585663	-0,229706	241,000000	409,000000
500,786652	-0,228882	245,000000	415,000000
500,987640	-0,229830	248,000000	421,000000
501,188629	-0,229736	251,000000	426,000000
501,389618	-0,228944	255,000000	432,000000
501,590607	-0,230548	257,000000	437,000000
501,791595	-0,230742	261,000000	444,000000
501,992584	-0,229967	265,000000	450,000000
502,193573	-0,231781	268,000000	457,000000
502,394562	-0,232612	271,000000	463,000000
502,595551	-0,233422	274,000000	469,000000
502,796539	-0,232649	278,000000	475,000000
502,997528	-0,230992	282,000000	480,000000
503,198517	-0,231163	286,000000	487,000000
503,399506	-0,231067	289,000000	492,000000
503,600494	-0,230362	293,000000	498,000000
503,801483	-0,230535	297,000000	505,000000
504,002472	-0,229004	301,000000	510,000000
504,203461	-0,231456	304,000000	518,000000
504,404449	-0,230781	308,000000	524,000000
504,605438	-0,232334	311,000000	531,000000
504,806427	-0,233045	314,000000	537,000000
505,007416	-0,230209	319,000000	542,000000
505,208405	-0,229578	323,000000	548,000000
505,409393	-0,229508	326,000000	553,000000
505,610382	-0,229674	330,000000	560,000000
505,811371	-0,231139	333,000000	567,000000
506,012360	-0,230525	337,000000	573,000000
506,213348	-0,229924	341,000000	579,000000
506,414337	-0,229110	344,000000	583,000000
506,615326	-0,228536	348,000000	589,000000
506,816315	-0,229210	351,000000	595,000000
507,017303	-0,228646	355,000000	601,000000
507,218292	-0,228094	359,000000	607,000000
507,419281	-0,227554	363,000000	613,000000
507,620270	-0,226322	367,000000	618,000000
507,821259	-0,225114	371,000000	623,000000
508,022247	-0,223928	375,000000	628,000000
508,223236	-0,223912	378,000000	633,000000
508,424225	-0,223437	382,000000	639,000000
508,625214	-0,221624	386,000000	643,000000
508,826202	-0,221625	389,000000	648,000000
509,027191	-0,220521	393,000000	653,000000
509,228180	-0,220095	397,000000	659,000000
509,429169	-0,221195	399,000000	664,000000
509,630157	-0,219693	404,000000	670,000000
509,831146	-0,218421	407,000000	673,000000
510,032135	-0,216973	412,000000	679,000000
510,233124	-0,218690	414,000000	685,000000
510,434113	-0,218713	417,000000	690,000000
510,635101	-0,218327	421,000000	696,000000
510,836090	-0,217329	425,000000	701,000000
511,037079	-0,217361	428,000000	706,000000
511,238068	-0,216781	431,000000	710,000000
511,439056	-0,217423	434,000000	716,000000
511,640045	-0,216461	438,000000	721,000000
511,841034	-0,217096	441,000000	727,000000
512,041992	-0,217128	444,000000	732,000000
512,242981	-0,215600	448,000000	736,000000
512,443970	-0,215642	451,000000	741,000000
512,644958	-0,215683	454,000000	746,000000
512,845947	-0,214196	458,000000	750,000000
513,046936	-0,213670	461,000000	754,000000
513,247925	-0,214296	464,000000	760,000000
513,448914	-0,212638	467,000000	762,000000
513,649902	-0,213263	470,000000	768,000000
513,850891	-0,211276	474,000000	771,000000
514,051880	-0,211134	476,000000	774,000000
514,252869	-0,211202	479,000000	779,000000
514,453857	-0,210369	483,000000	784,000000
514,654846	-0,209890	486,000000	788,000000
514,855835	-0,208318	489,000000	790,000000
515,056824	-0,209286	491,000000	795,000000
515,257812	-0,208276	494,000000	798,000000
515,458801	-0,209234	496,000000	803,000000
515,659790	-0,208234	499,000000	806,000000
515,860779	-0,207781	502,000000	810,000000
516,061768	-0,207660	504,000000	813,000000
516,262756	-0,206150	507,000000	815,000000
516,463745	-0,206244	510,000000	820,000000
516,664734	-0,205810	513,000000	824,000000
516,865723	-0,204856	516,000000	827,000000
517,066711	-0,204748	518,000000	830,000000
517,267700	-0,204016	522,000000	835,000000
517,468689	-0,203394	524,000000	837,000000
517,669678	-0,203810	526,000000	841,000000
517,870667	-0,202887	529,000000	844,000000
518,071655	-0,201972	532,000000	847,000000
518,272644	-0,202388	534,000000	851,000000
518,473633	-0,201784	536,000000	853,000000
518,674622	-0,201184	538,000000	855,000000
518,875610	-0,199277	541,000000	856,000000
519,076599	-0,199193	543,000000	859,000000
519,277588	-0,198102	545,000000	860,000000
519,478577	-0,198023	547,000000	863,000000
519,679565	-0,196941	549,000000	864,000000
519,880554	-0,195865	551,000000	865,000000
520,081543	-0,194509	554,000000	867,000000
520,282532	-0,192944	556,000000	867,000000
520,483521	-0,192885	558,000000	870,000000
520,684509	-0,192826	560,000000	873,000000
520,885498	-0,191278	562,000000	873,000000
521,086487	-0,190729	564,000000	875,000000
521,287476	-0,190678	566,000000	878,000000
521,488464	-0,191393	567,000000	881,000000
521,689453	-0,189864	569,000000	881,000000
521,890442	-0,189816	571,000000	884,000000
522,091431	-0,189279	573,000000	886,000000
522,292419	-0,189990	574,000000	889,000000
522,493408	-0,189455	576,000000	891,000000
522,694397	-0,189410	578,000000	894,000000
522,895386	-0,188880	580,000000	896,000000
523,096375	-0,188353	582,000000	898,000000
523,297363	-0,188312	584,000000	901,000000
523,498352	-0,189013	585,000000	904,000000
523,699341	-0,189710	586,000000	907,000000
523,900330	-0,190141	588,000000	911,000000
524,101318	-0,190831	589,000000	914,000000
524,302307	-0,191517	590,000000	917,000000
524,503296	-0,192672	591,000000	921,000000
524,704285	-0,192355	594,000000	925,000000
524,905273	-0,193031	595,000000	928,000000
525,106262	-0,194635	596,000000	933,000000
525,307251	-0,195302	597,000000	936,000000
525,508240	-0,196163	599,000000	941,000000
525,709229	-0,196821	600,000000	944,000000
525,910217	-0,197934	601,000000	948,000000
526,111206	-0,199040	602,000000	952,000000
526,312195	-0,198511	604,000000	954,000000
526,513184	-0,199157	605,000000	957,000000
526,714172	-0,198893	606,000000	958,000000
526,915161	-0,199986	607,000000	962,000000
527,116150	-0,199723	608,000000	963,000000
527,317139	-0,201074	608,000000	966,000000
527,518127	-0,200097	610,000000	967,000000
527,719116	-0,199834	611,000000	968,000000
527,920105	-0,200468	612,000000	971,000000
528,121094	-0,199759	613,000000	971,000000
528,322083	-0,199498	614,000000	972,000000
528,523071	-0,199498	614,000000	972,000000
528,724060	-0,199684	615,000000	974,000000
528,925049	-0,199424	616,000000	975,000000
529,126038	-0,198719	617,000000	975,000000
529,327026	-0,198016	618,000000	975,000000
529,528015	-0,199350	618,000000	978,000000
529,729004	-0,199092	619,000000	979,000000
529,929993	-0,198391	620,000000	979,000000
530,130981	-0,199020	621,000000	982,000000
530,331970	-0,199462	621,000000	983,000000
530,532959	-0,200345	621,000000	985,000000
530,733948	-0,200087	622,000000	986,000000
530,934937	-0,200967	622,000000	988,000000
531,135925	-0,201586	623,000000	991,000000
531,336914	-0,202024	623,000000	992,000000
531,537903	-0,203335	623,000000	995,000000
531,738892	-0,203511	624,000000	997,000000
531,939880	-0,203946	624,000000	998,000000
532,140869	-0,204120	625,000000	1000,000000
532,341858	-0,205683	624,000000	1002,000000
532,542847	-0,205854	625,000000	1004,000000
532,743835	-0,206718	625,000000	1006,000000
532,944824	-0,208177	626,000000	1011,000000
533,145813	-0,207747	626,000000	1010,000000
533,346802	-0,208606	626,000000	1012,000000
533,547791	-0,208342	627,000000	1013,000000
533,748779	-0,209199	627,000000	1015,000000
533,949768	-0,210053	627,000000	1017,000000
534,150757	-0,210480	627,000000	1018,000000
534,351746	-0,211333	627,000000	1020,000000
534,552734	-0,211758	627,000000	1021,000000
534,753723	-0,212183	627,000000	1022,000000
534,954712	-0,213032	627,000000	1024,000000
535,155701	-0,213456	627,000000	1025,000000
535,356689	-0,213880	627,000000	1026,000000
535,557678	-0,213880	627,000000	1026,000000
535,758667	-0,214303	627,000000	1027,000000
535,959656	-0,214303	627,000000	1027,000000
536,160645	-0,214033	628,000000	1028,000000
536,361633	-0,215148	627,000000	1029,000000
536,562622	-0,215148	627,000000	1029,000000
536,763611	-0,215148	627,000000	1029,000000
536,964600	-0,214726	627,000000	1028,000000
537,165588	-0,215570	627,000000	1030,000000
537,366577	-0,215148	627,000000	1029,000000
537,567566	-0,214726	627,000000	1028,000000
537,768494	-0,214726	627,000000	1028,000000
537,969482	-0,214726	627,000000	1028,000000
538,170471	-0,215419	626,000000	1028,000000
538,371460	-0,215419	626,000000	1028,000000
538,572449	-0,215419	626,000000	1028,000000
538,773437	-0,214996	626,000000	1027,000000
538,974426	-0,214996	626,000000	1027,000000
539,175415	-0,214573	626,000000	1026,000000
539,376404	-0,215690	625,000000	1027,000000
539,577393	-0,215267	625,000000	1026,000000
539,778381	-0,215267	625,000000	1026,000000
539,979370	-0,215539	624,000000	1025,000000
540,180359	-0,216236	623,000000	1025,000000
540,381348	-0,215539	624,000000	1025,000000
540,582336	-0,216659	623,000000	1026,000000
540,783325	-0,216236	623,000000	1025,000000
540,984314	-0,216510	622,000000	1024,000000
541,185303	-0,215812	623,000000	1024,000000
541,386292	-0,216510	622,000000	1024,000000
541,587280	-0,217208	621,000000	1024,000000
541,788269	-0,217208	621,000000	1024,000000
541,989258	-0,217908	620,000000	1024,000000
542,190247	-0,217484	620,000000	1023,000000
542,391235	-0,217059	620,000000	1022,000000
542,592224	-0,217760	619,000000	1022,000000
542,793213	-0,217335	619,000000	1021,000000
542,994202	-0,217612	618,000000	1020,000000
543,195190	-0,217889	617,000000	1019,000000
543,396179	-0,217463	617,000000	1018,000000
543,597168	-0,217463	617,000000	1018,000000
543,798157	-0,217313	616,000000	1016,000000
543,999146	-0,217591	615,000000	1015,000000
544,200134	-0,217591	615,000000	1015,000000
544,401123	-0,216734	615,000000	1013,000000
544,602112	-0,217720	613,000000	1012,000000
544,803101	-0,216861	613,000000	1010,000000
545,004089	-0,216000	613,000000	1008,000000
545,205078	-0,215847	612,000000	1006,000000
545,406067	-0,214550	612,000000	1003,000000
545,607056	-0,214827	611,000000	1002,000000
545,808044	-0,213089	611,000000	998,000000
546,009033	-0,214078	609,000000	997,000000
546,210022	-0,213483	608,000000	994,000000
546,411011	-0,212170	608,000000	991,000000
546,612000	-0,210853	608,000000	988,000000
546,812988	-0,209365	607,000000	983,000000
547,013977	-0,208310	606,000000	979,000000
547,214966	-0,207694	605,000000	976,000000
547,415955	-0,205016	605,000000	970,000000
547,616943	-0,203940	604,000000	966,000000
547,817932	-0,201234	604,000000	960,000000
548,018921	-0,199496	602,000000	953,000000
548,219910	-0,197670	602,000000	949,000000
548,420898	-0,195176	601,000000	942,000000
548,621887	-0,193125	600,000000	936,000000
548,822876	-0,191056	599,000000	930,000000
549,023865	-0,188501	598,000000	923,000000
549,224854	-0,185447	597,000000	915,000000
549,425842	-0,183318	596,000000	909,000000
549,626831	-0,181402	596,000000	905,000000
549,827820	-0,179243	595,000000	899,000000
550,028809	-0,178037	594,000000	895,000000
550,229797	-0,177310	593,000000	892,000000
550,430786	-0,176091	592,000000	888,000000
550,631775	-0,175356	591,000000	885,000000
550,832764	-0,174373	591,000000	883,000000
551,033752	-0,174124	590,000000	881,000000
551,234741	-0,174861	589,000000	881,000000
551,435730	-0,175845	589,000000	883,000000
551,636719	-0,176091	588,000000	882,000000
551,837708	-0,178305	587,000000	885,000000
552,038696	-0,180515	586,000000	888,000000
552,239685	-0,183209	585,000000	892,000000
552,440674	-0,186380	584,000000	897,000000
552,641663	-0,187347	584,000000	899,000000
552,842651	-0,190500	583,000000	904,000000
553,043640	-0,192417	583,000000	908,000000
553,244629	-0,196295	581,000000	913,000000
553,445618	-0,199888	580,000000	919,000000
553,646606	-0,202244	580,000000	924,000000
553,847595	-0,206555	578,000000	930,000000
554,048584	-0,208706	577,000000	933,000000
554,249573	-0,211027	577,000000	938,000000
554,450562	-0,214844	575,000000	943,000000
554,651550	-0,215764	575,000000	945,000000
554,852539	-0,217438	574,000000	947,000000
555,053528	-0,220026	573,000000	951,000000
555,254517	-0,221241	572,000000	952,000000
555,455505	-0,223367	571,000000	955,000000
555,656494	-0,225037	570,000000	957,000000
555,857483	-0,225037	570,000000	957,000000
556,058472	-0,226253	569,000000	958,000000
556,259460	-0,227470	568,000000	959,000000
556,460449	-0,228688	567,000000	960,000000
556,661438	-0,229455	566,000000	960,000000
556,862427	-0,230992	564,000000	960,000000
557,063416	-0,231763	563,000000	960,000000
557,264404	-0,231310	563,000000	959,000000
557,465393	-0,232856	561,000000	959,000000
557,666382	-0,233631	560,000000	959,000000
557,867371	-0,233177	560,000000	958,000000
558,068359	-0,233824	558,000000	956,000000
558,269348	-0,234148	557,000000	955,000000
558,470337	-0,234603	557,000000	956,000000
558,671326	-0,234929	556,000000	955,000000
558,872314	-0,236039	554,000000	954,000000
559,073303	-0,236039	554,000000	954,000000
559,274292	-0,237154	552,000000	953,000000
559,475281	-0,237485	551,000000	952,000000
559,676270	-0,237818	550,000000	951,000000
559,877258	-0,238608	549,000000	951,000000
560,078247	-0,238486	548,000000	949,000000
560,279236	-0,239736	547,000000	950,000000
560,480225	-0,240074	546,000000	949,000000
560,681213	-0,239616	546,000000	948,000000
560,882202	-0,239953	545,000000	947,000000
561,083191	-0,240751	544,000000	947,000000
561,284180	-0,241550	543,000000	947,000000
561,485168	-0,241433	542,000000	945,000000
561,686157	-0,241775	541,000000	944,000000
561,887146	-0,243383	539,000000	944,000000
562,088135	-0,242462	539,000000	942,000000
562,289124	-0,242807	538,000000	941,000000
562,490112	-0,243615	537,000000	941,000000
562,691101	-0,244312	535,000000	939,000000
562,892090	-0,244312	535,000000	939,000000
563,093079	-0,244198	534,000000	937,000000
563,294067	-0,245364	532,000000	936,000000
563,495056	-0,246181	531,000000	936,000000
563,696045	-0,245717	531,000000	935,000000
563,897034	-0,246426	529,000000	933,000000
564,098022	-0,247248	528,000000	933,000000
564,299011	-0,247605	527,000000	932,000000
564,500000	-0,247497	526,000000	930,000000
564,700989	-0,247389	525,000000	928,000000
564,901978	-0,247748	524,000000	927,000000
565,102966	-0,248471	522,000000	925,000000
565,303955	-0,248471	522,000000	925,000000
565,504944	-0,248364	521,000000	923,000000
565,705933	-0,249564	519,000000	922,000000
565,906921	-0,249458	518,000000	920,000000
566,107910	-0,249825	517,000000	919,000000
566,308899	-0,251508	515,000000	919,000000
566,509888	-0,250562	515,000000	917,000000
566,710876	-0,250932	514,000000	916,000000
566,911865	-0,251201	512,000000	913,000000
567,112854	-0,252525	511,000000	914,000000
567,313843	-0,253277	509,000000	912,000000
567,514832	-0,252801	509,000000	911,000000
567,715820	-0,253178	508,000000	910,000000
567,916809	-0,253078	507,000000	908,000000
568,117798	-0,252978	506,000000	906,000000
568,318787	-0,254218	504,000000	905,000000
568,519775	-0,254600	503,000000	904,000000
568,720764	-0,254984	502,000000	903,000000
568,921753	-0,255369	501,000000	902,000000
569,122742	-0,255755	500,000000	901,000000
569,323730	-0,257013	498,000000	900,000000
569,524719	-0,257403	497,000000	899,000000
569,725708	-0,257795	496,000000	898,000000
569,926636	-0,258581	494,000000	896,000000
570,127625	-0,258096	494,000000	895,000000
570,328613	-0,258491	493,000000	894,000000
570,529602	-0,259858	492,000000	895,000000
570,730591	-0,260169	490,000000	892,000000
570,931580	-0,259682	490,000000	891,000000
571,132568	-0,260081	489,000000	890,000000
571,333557	-0,260970	488,000000	890,000000
571,534546	-0,261777	486,000000	888,000000
571,735535	-0,261777	486,000000	888,000000
571,936523	-0,261692	485,000000	886,000000
572,137512	-0,262098	484,000000	885,000000
572,338501	-0,262914	482,000000	883,000000
572,539490	-0,263324	481,000000	882,000000
572,740479	-0,263735	480,000000	881,000000
572,941467	-0,263653	479,000000	879,000000
573,142456	-0,265471	477,000000	879,000000
573,343445	-0,265393	476,000000	877,000000
573,544434	-0,264897	476,000000	876,000000
573,745422	-0,266726	474,000000	876,000000
573,946411	-0,266153	473,000000	873,000000
574,147400	-0,267072	472,000000	873,000000
574,348389	-0,267920	470,000000	871,000000
574,549377	-0,268346	469,000000	870,000000
574,750366	-0,266846	469,000000	867,000000
574,951355	-0,268702	467,000000	867,000000
575,152344	-0,269132	466,000000	866,000000
575,353333	-0,269061	465,000000	864,000000
575,554321	-0,269996	464,000000	864,000000
575,755310	-0,270430	463,000000	863,000000
575,956299	-0,270865	462,000000	862,000000
576,157288	-0,271302	461,000000	861,000000
576,358276	-0,272180	459,000000	859,000000
576,559265	-0,272622	458,000000	858,000000
576,760254	-0,272050	457,000000	855,000000
576,961243	-0,273001	456,000000	855,000000
577,162231	-0,272938	455,000000	853,000000
577,363220	-0,274341	453,000000	852,000000
577,564209	-0,273831	453,000000	851,000000
577,765198	-0,274731	451,000000	849,000000
577,966187	-0,276150	449,000000	848,000000
578,167175	-0,274610	449,000000	845,000000
578,368164	-0,275579	448,000000	845,000000
578,569153	-0,276493	446,000000	843,000000
578,770142	-0,276436	445,000000	841,000000
578,971130	-0,276896	444,000000	840,000000
579,172119	-0,276840	443,000000	838,000000
579,373108	-0,277822	442,000000	838,000000
579,574097	-0,278234	440,000000	835,000000
579,775085	-0,278180	439,000000	833,000000
579,976074	-0,278649	438,000000	832,000000
580,177063	-0,279120	437,000000	831,000000
580,378052	-0,280065	435,000000	829,000000
580,579041	-0,280016	434,000000	827,000000
580,780029	-0,279966	433,000000	825,000000
580,981018	-0,280443	432,000000	824,000000
581,182007	-0,280395	431,000000	822,000000
581,382996	-0,281357	429,000000	820,000000
581,583984	-0,281840	428,000000	819,000000
581,784973	-0,281262	427,000000	816,000000
581,985962	-0,281748	426,000000	815,000000
582,186951	-0,282769	425,000000	815,000000
582,387939	-0,281167	425,000000	812,000000
582,588928	-0,282145	423,000000	810,000000
582,789917	-0,282636	422,000000	809,000000
582,990906	-0,283624	420,000000	807,000000
583,191895	-0,283086	420,000000	806,000000
583,392883	-0,284080	418,000000	804,000000
