Wavelength [nm]	Absorbance/Fluorescence	Baseline counts	Sample counts
499,982697	0,107285	233,000000	182,000000
500,183685	0,106250	235,000000	184,000000
500,384674	0,106556	239,000000	187,000000
500,585663	0,103263	241,000000	190,000000
500,786652	0,103609	245,000000	193,000000
500,987640	0,102196	248,000000	196,000000
501,188629	0,100821	251,000000	199,000000
501,389618	0,101189	255,000000	202,000000
501,590607	0,098179	257,000000	205,000000
501,791595	0,098577	261,000000	208,000000
501,992584	0,098963	265,000000	211,000000
502,193573	0,095696	268,000000	215,000000
502,394562	0,094513	271,000000	218,000000
502,595551	0,093358	274,000000	221,000000
502,796539	0,093797	278,000000	224,000000
502,997528	0,094223	282,000000	227,000000
503,198517	0,096531	286,000000	229,000000
503,399506	0,097286	289,000000	231,000000
503,600494	0,095800	293,000000	235,000000
503,801483	0,096179	297,000000	238,000000
504,002472	0,094751	301,000000	242,000000
504,203461	0,095484	304,000000	244,000000
504,404449	0,094099	308,000000	248,000000
504,605438	0,093087	311,000000	251,000000
504,806427	0,093809	314,000000	253,000000
505,007416	0,097251	319,000000	255,000000
505,208405	0,099269	323,000000	257,000000
505,409393	0,096577	326,000000	261,000000
505,610382	0,096910	330,000000	264,000000
505,811371	0,095933	333,000000	267,000000
506,012360	0,096266	337,000000	270,000000
506,213348	0,098185	341,000000	272,000000
506,414337	0,095649	344,000000	276,000000
506,615326	0,095975	348,000000	279,000000
506,816315	0,098149	351,000000	280,000000
507,017303	0,101522	355,000000	281,000000
507,218292	0,101776	359,000000	284,000000
507,419281	0,103541	363,000000	286,000000
507,620270	0,103768	367,000000	289,000000
507,821259	0,106976	371,000000	290,000000
508,022247	0,107164	375,000000	293,000000
508,223236	0,107670	378,000000	295,000000
508,424225	0,109307	382,000000	297,000000
508,625214	0,112371	386,000000	298,000000
508,826202	0,112828	389,000000	300,000000
509,027191	0,110093	393,000000	305,000000
509,228180	0,110240	397,000000	308,000000
509,429169	0,108213	399,000000	311,000000
509,630157	0,109452	404,000000	314,000000
509,831146	0,108535	407,000000	317,000000
510,032135	0,109747	412,000000	320,000000
510,233124	0,109144	414,000000	322,000000
510,434113	0,108253	417,000000	325,000000
510,635101	0,109734	421,000000	327,000000
510,836090	0,108561	425,000000	331,000000
511,037079	0,110306	428,000000	332,000000
511,238068	0,109432	431,000000	335,000000
511,439056	0,109860	434,000000	337,000000
511,640045	0,111274	438,000000	339,000000
511,841034	0,110412	441,000000	342,000000
512,041992	0,112089	444,000000	343,000000
512,242981	0,114720	448,000000	344,000000
512,443970	0,113847	451,000000	347,000000
512,644958	0,115477	454,000000	348,000000
512,845947	0,116797	458,000000	350,000000
513,046936	0,118394	461,000000	351,000000
513,247925	0,118743	464,000000	353,000000
513,448914	0,117867	467,000000	356,000000
513,649902	0,119430	470,000000	357,000000
513,850891	0,121895	474,000000	358,000000
514,051880	0,121304	476,000000	360,000000
514,252869	0,121627	479,000000	362,000000
514,453857	0,122846	483,000000	364,000000
514,654846	0,121970	486,000000	367,000000
514,855835	0,123461	489,000000	368,000000
515,056824	0,121708	491,000000	371,000000
515,257812	0,122018	494,000000	373,000000
515,458801	0,122610	496,000000	374,000000
515,659790	0,125229	499,000000	374,000000
515,860779	0,125516	502,000000	376,000000
516,061768	0,123791	504,000000	379,000000
516,262756	0,124083	507,000000	381,000000
516,463745	0,125507	510,000000	382,000000
516,664734	0,124657	513,000000	385,000000
516,865723	0,124939	516,000000	387,000000
517,066711	0,124380	518,000000	389,000000
517,267700	0,127721	522,000000	389,000000
517,468689	0,127155	524,000000	391,000000
517,669678	0,127700	526,000000	392,000000
517,870667	0,130170	529,000000	392,000000
518,071655	0,131519	532,000000	393,000000
518,272644	0,133149	534,000000	393,000000
518,473633	0,133669	536,000000	394,000000
518,674622	0,135286	538,000000	394,000000
518,875610	0,142133	541,000000	390,000000
519,076599	0,144850	543,000000	389,000000
519,277588	0,146447	545,000000	389,000000
519,478577	0,149156	547,000000	388,000000
519,679565	0,149623	549,000000	389,000000
519,880554	0,151202	551,000000	389,000000
520,081543	0,152445	554,000000	390,000000
520,282532	0,152898	556,000000	391,000000
520,483521	0,151138	558,000000	394,000000
520,684509	0,152692	560,000000	394,000000
520,885498	0,154240	562,000000	394,000000
521,086487	0,153584	564,000000	396,000000
521,287476	0,154026	566,000000	397,000000
521,488464	0,153700	567,000000	398,000000
521,689453	0,153052	569,000000	400,000000
521,890442	0,154576	571,000000	400,000000
522,091431	0,155010	573,000000	401,000000
522,292419	0,155768	574,000000	401,000000
522,493408	0,158362	576,000000	400,000000
522,694397	0,158783	578,000000	401,000000
522,895386	0,157047	580,000000	404,000000
523,096375	0,157468	582,000000	405,000000
523,297363	0,156818	584,000000	407,000000
523,498352	0,154372	585,000000	410,000000
523,699341	0,151948	586,000000	413,000000
523,900330	0,148201	588,000000	418,000000
524,101318	0,146866	589,000000	420,000000
524,302307	0,143486	590,000000	424,000000
524,503296	0,140144	591,000000	428,000000
524,704285	0,137299	594,000000	433,000000
524,905273	0,134036	595,000000	437,000000
525,106262	0,130808	596,000000	441,000000
525,307251	0,127614	597,000000	445,000000
525,508240	0,126149	599,000000	448,000000
525,709229	0,125905	600,000000	449,000000
525,910217	0,125662	601,000000	450,000000
526,111206	0,125420	602,000000	451,000000
526,312195	0,124939	604,000000	453,000000
526,513184	0,124700	605,000000	454,000000
526,714172	0,124461	606,000000	455,000000
526,915161	0,125177	607,000000	455,000000
527,116150	0,125892	608,000000	455,000000
527,317139	0,124939	608,000000	456,000000
527,518127	0,127318	610,000000	455,000000
527,719116	0,130903	611,000000	452,000000
527,920105	0,131613	612,000000	452,000000
528,121094	0,133284	613,000000	451,000000
528,322083	0,133030	614,000000	452,000000
528,523071	0,133030	614,000000	452,000000
528,724060	0,133737	615,000000	452,000000
528,925049	0,133483	616,000000	453,000000
529,126038	0,132274	617,000000	455,000000
529,327026	0,132977	618,000000	455,000000
529,528015	0,132024	618,000000	456,000000
529,729004	0,130825	619,000000	458,000000
529,929993	0,128691	620,000000	461,000000
530,130981	0,126574	621,000000	464,000000
530,331970	0,123775	621,000000	467,000000
530,532959	0,121919	621,000000	469,000000
530,733948	0,120769	622,000000	471,000000
530,934937	0,118929	622,000000	473,000000
