Wavelength [nm]	Absorbance/Fluorescence	Baseline counts	Sample counts
553,847595	0,571596	578,000000	155,000000
554,048584	0,585085	577,000000	150,000000
554,249573	0,599808	577,000000	145,000000
554,450562	0,616653	575,000000	139,000000
554,651550	0,639094	575,000000	132,000000
554,852539	0,655108	574,000000	127,000000
555,053528	0,675369	573,000000	121,000000
555,254517	0,696698	572,000000	115,000000
555,455505	0,719210	571,000000	109,000000
555,656494	0,747275	570,000000	102,000000
555,857483	0,778151	570,000000	95,000000
556,058472	0,805722	569,000000	89,000000
556,259460	0,835270	568,000000	83,000000
556,460449	0,861488	567,000000	78,000000
556,661438	0,877755	566,000000	75,000000
556,862427	0,887956	564,000000	73,000000
557,063416	0,887186	563,000000	73,000000
557,264404	0,881277	563,000000	74,000000
557,465393	0,856868	561,000000	78,000000
557,666382	0,823909	560,000000	84,000000
557,867371	0,789147	560,000000	91,000000
558,068359	0,742313	558,000000	101,000000
558,269348	0,700532	557,000000	111,000000
558,470337	0,655950	557,000000	123,000000
558,671326	0,617970	556,000000	134,000000
558,872314	0,582142	554,000000	145,000000
559,073303	0,555989	554,000000	154,000000
559,274292	0,532424	552,000000	162,000000
559,475281	0,513265	551,000000	169,000000
559,676270	0,499813	550,000000	174,000000
559,877258	0,489152	549,000000	178,000000
560,078247	0,481102	548,000000	181,000000
560,279236	0,473170	547,000000	184,000000
560,480225	0,470021	546,000000	185,000000
560,681213	0,467680	546,000000	186,000000
560,882202	0,469225	545,000000	185,000000
561,083191	0,468427	544,000000	185,000000
561,284180	0,467628	543,000000	185,000000
561,485168	0,469181	542,000000	184,000000
561,686157	0,470746	541,000000	183,000000
561,887146	0,469138	539,000000	183,000000
562,088135	0,471517	539,000000	182,000000
562,289124	0,468331	538,000000	183,000000
562,490112	0,467523	537,000000	183,000000
562,691101	0,465903	535,000000	183,000000
562,892090	0,463536	535,000000	184,000000
563,093079	0,460370	534,000000	185,000000
563,294067	0,456399	532,000000	186,000000
563,495056	0,453253	531,000000	187,000000
563,696045	0,450937	531,000000	188,000000
563,897034	0,444702	529,000000	190,000000
564,098022	0,441601	528,000000	191,000000
564,299011	0,438509	527,000000	192,000000
564,500000	0,433184	526,000000	194,000000
564,700989	0,427903	525,000000	196,000000
564,901978	0,422666	524,000000	198,000000
565,102966	0,421005	522,000000	198,000000
565,303955	0,416641	522,000000	200,000000
565,504944	0,413642	521,000000	201,000000
565,705933	0,409816	519,000000	202,000000
565,906921	0,408978	518,000000	202,000000
566,107910	0,405995	517,000000	203,000000
566,308899	0,404311	515,000000	203,000000
566,509888	0,402177	515,000000	204,000000
566,710876	0,401333	514,000000	204,000000
566,911865	0,399640	512,000000	204,000000
567,112854	0,396667	511,000000	205,000000
567,313843	0,394964	509,000000	205,000000
567,514832	0,394964	509,000000	205,000000
567,715820	0,394110	508,000000	205,000000
567,916809	0,393254	507,000000	205,000000
568,117798	0,392397	506,000000	205,000000
568,318787	0,390677	504,000000	205,000000
568,519775	0,391938	503,000000	204,000000
568,720764	0,388950	502,000000	205,000000
568,921753	0,388084	501,000000	205,000000
569,122742	0,389340	500,000000	204,000000
569,323730	0,387599	498,000000	204,000000
569,524719	0,386726	497,000000	204,000000
569,725708	0,385852	496,000000	204,000000
569,926636	0,384097	494,000000	204,000000
570,127625	0,384097	494,000000	204,000000
570,328613	0,383217	493,000000	204,000000
570,529602	0,382335	492,000000	204,000000
570,730591	0,380566	490,000000	204,000000
570,931580	0,380566	490,000000	204,000000
571,132568	0,381813	489,000000	203,000000
571,333557	0,380924	488,000000	203,000000
571,534546	0,379140	486,000000	203,000000
571,735535	0,379140	486,000000	203,000000
571,936523	0,378246	485,000000	203,000000
572,137512	0,377349	484,000000	203,000000
572,338501	0,375551	482,000000	203,000000
572,539490	0,374649	481,000000	203,000000
572,740479	0,371611	480,000000	204,000000
572,941467	0,374984	479,000000	202,000000
573,142456	0,373167	477,000000	202,000000
573,343445	0,370111	476,000000	203,000000
573,544434	0,370111	476,000000	203,000000
573,745422	0,370427	474,000000	202,000000
