Wavelength [nm]	Absorbance/Fluorescence	Baseline counts	Sample counts
499,982697	0,464266	233,000000	80,000000
500,183685	0,462583	235,000000	81,000000
500,384674	0,454119	239,000000	84,000000
500,585663	0,452598	241,000000	85,000000
500,786652	0,449647	245,000000	87,000000
500,987640	0,449969	248,000000	88,000000
501,188629	0,445431	251,000000	90,000000
501,389618	0,447499	255,000000	91,000000
501,590607	0,441450	257,000000	93,000000
501,791595	0,443513	261,000000	94,000000
501,992584	0,440975	265,000000	96,000000
502,193573	0,436909	268,000000	98,000000
502,394562	0,437334	271,000000	99,000000
502,595551	0,433429	274,000000	101,000000
502,796539	0,431208	278,000000	103,000000
502,997528	0,429060	282,000000	105,000000
503,198517	0,431060	286,000000	106,000000
503,399506	0,431514	289,000000	107,000000
503,600494	0,429441	293,000000	109,000000
503,801483	0,431364	297,000000	110,000000
504,002472	0,433244	301,000000	111,000000
504,203461	0,429795	304,000000	113,000000
504,404449	0,431646	308,000000	114,000000
504,605438	0,428302	311,000000	116,000000
504,806427	0,428744	314,000000	117,000000
505,007416	0,428244	319,000000	119,000000
505,208405	0,430021	323,000000	120,000000
505,409393	0,430432	326,000000	121,000000
505,610382	0,428609	330,000000	123,000000
505,811371	0,425534	333,000000	125,000000
506,012360	0,430720	337,000000	125,000000
506,213348	0,428951	341,000000	127,000000
506,414337	0,429348	344,000000	128,000000
506,615326	0,430990	348,000000	129,000000
506,816315	0,431364	351,000000	130,000000
507,017303	0,432957	355,000000	131,000000
507,218292	0,431243	359,000000	133,000000
507,419281	0,436055	363,000000	133,000000
507,620270	0,434332	367,000000	135,000000
507,821259	0,439040	371,000000	135,000000
508,022247	0,437311	375,000000	137,000000
508,223236	0,440771	378,000000	137,000000
508,424225	0,442184	382,000000	138,000000
508,625214	0,446708	386,000000	138,000000
508,826202	0,443822	389,000000	140,000000
509,027191	0,445173	393,000000	141,000000
509,228180	0,449571	397,000000	141,000000
509,429169	0,448685	399,000000	142,000000
509,630157	0,451045	404,000000	143,000000
509,831146	0,451232	407,000000	144,000000
510,032135	0,456535	412,000000	144,000000
510,233124	0,455632	414,000000	145,000000
510,434113	0,455783	417,000000	146,000000
510,635101	0,456965	421,000000	147,000000
510,836090	0,458127	425,000000	148,000000
511,037079	0,458257	428,000000	149,000000
511,238068	0,458386	431,000000	150,000000
511,439056	0,458513	434,000000	151,000000
511,640045	0,459631	438,000000	152,000000
511,841034	0,459747	441,000000	153,000000
512,041992	0,462692	444,000000	153,000000
512,242981	0,463757	448,000000	154,000000
512,443970	0,466656	451,000000	154,000000
512,644958	0,466724	454,000000	155,000000
512,845947	0,470534	458,000000	155,000000
513,046936	0,470576	461,000000	156,000000
513,247925	0,473393	464,000000	156,000000
513,448914	0,476192	467,000000	156,000000
513,649902	0,476198	470,000000	157,000000
513,850891	0,479879	474,000000	157,000000
514,051880	0,478950	476,000000	158,000000
514,252869	0,481678	479,000000	158,000000
514,453857	0,482550	483,000000	159,000000
514,654846	0,485239	486,000000	159,000000
514,855835	0,485189	489,000000	160,000000
515,056824	0,486962	491,000000	160,000000
515,257812	0,489607	494,000000	160,000000
515,458801	0,488656	496,000000	161,000000
515,659790	0,488586	499,000000	162,000000
515,860779	0,491189	502,000000	162,000000
516,061768	0,492916	504,000000	162,000000
516,262756	0,492820	507,000000	163,000000
516,463745	0,495383	510,000000	163,000000
516,664734	0,495274	513,000000	164,000000
516,865723	0,497806	516,000000	164,000000
517,066711	0,496846	518,000000	165,000000
517,267700	0,500187	522,000000	165,000000
517,468689	0,499223	524,000000	166,000000
517,669678	0,500878	526,000000	166,000000
517,870667	0,503348	529,000000	166,000000
518,071655	0,505804	532,000000	166,000000
518,272644	0,504825	534,000000	167,000000
518,473633	0,506448	536,000000	167,000000
518,674622	0,510674	538,000000	166,000000
518,875610	0,513089	541,000000	166,000000
519,076599	0,514692	543,000000	166,000000
519,277588	0,518913	545,000000	165,000000
519,478577	0,520503	547,000000	165,000000
519,679565	0,522088	549,000000	165,000000
519,880554	0,526308	551,000000	164,000000
520,081543	0,528666	554,000000	164,000000
520,282532	0,532887	556,000000	163,000000
520,483521	0,534447	558,000000	163,000000
520,684509	0,538673	560,000000	162,000000
520,885498	0,537549	562,000000	163,000000
521,086487	0,541764	564,000000	162,000000
521,287476	0,543301	566,000000	162,000000
521,488464	0,544068	567,000000	162,000000
521,689453	0,542925	569,000000	163,000000
521,890442	0,544448	571,000000	163,000000
522,091431	0,545967	573,000000	163,000000
522,292419	0,546724	574,000000	163,000000
522,493408	0,548235	576,000000	163,000000
522,694397	0,547084	578,000000	164,000000
522,895386	0,548584	580,000000	164,000000
523,096375	0,547439	582,000000	165,000000
523,297363	0,546305	584,000000	166,000000
523,498352	0,547048	585,000000	166,000000
523,699341	0,545181	586,000000	167,000000
523,900330	0,544068	588,000000	168,000000
524,101318	0,544806	589,000000	168,000000
524,302307	0,540403	590,000000	170,000000
524,503296	0,538591	591,000000	171,000000
524,704285	0,538258	594,000000	172,000000
524,905273	0,536471	595,000000	173,000000
525,106262	0,532208	596,000000	175,000000
525,307251	0,530462	597,000000	176,000000
525,508240	0,529454	599,000000	177,000000
525,709229	0,525298	600,000000	179,000000
525,910217	0,523602	601,000000	180,000000
526,111206	0,521918	602,000000	181,000000
526,312195	0,520966	604,000000	182,000000
526,513184	0,521684	605,000000	182,000000
526,714172	0,522401	606,000000	182,000000
526,915161	0,523117	607,000000	182,000000
527,116150	0,523832	608,000000	182,000000
527,317139	0,523832	608,000000	182,000000
527,518127	0,525258	610,000000	182,000000
527,719116	0,525970	611,000000	182,000000
527,920105	0,529073	612,000000	181,000000
528,121094	0,532188	613,000000	180,000000
528,322083	0,530490	614,000000	181,000000
528,523071	0,532896	614,000000	180,000000
528,724060	0,533603	615,000000	180,000000
528,925049	0,534308	616,000000	180,000000
529,126038	0,535013	617,000000	180,000000
529,327026	0,533310	618,000000	181,000000
529,528015	0,535716	618,000000	180,000000
529,729004	0,534012	619,000000	181,000000
529,929993	0,529941	620,000000	183,000000
530,130981	0,528274	621,000000	184,000000
530,331970	0,525920	621,000000	185,000000
530,532959	0,523579	621,000000	186,000000
530,733948	0,521949	622,000000	187,000000
530,934937	0,517329	622,000000	189,000000
531,135925	0,515734	623,000000	190,000000
531,336914	0,513455	623,000000	191,000000
531,537903	0,506686	623,000000	194,000000
531,738892	0,502928	624,000000	196,000000
531,939880	0,498519	624,000000	198,000000
