Wavelength [nm]	Absorbance/Fluorescence	Baseline counts	Sample counts
499,982697	-0,407161	233,000000	595,000000
500,183685	-0,408529	235,000000	602,000000
500,384674	-0,406219	239,000000	609,000000
500,585663	-0,408268	241,000000	617,000000
500,786652	-0,406018	245,000000	624,000000
500,987640	-0,406265	248,000000	632,000000
501,188629	-0,405827	251,000000	639,000000
501,389618	-0,405705	255,000000	649,000000
501,590607	-0,406971	257,000000	656,000000
501,791595	-0,406181	261,000000	665,000000
501,992584	-0,404123	265,000000	672,000000
502,193573	-0,405012	268,000000	681,000000
502,394562	-0,405250	271,000000	689,000000
502,595551	-0,406727	274,000000	699,000000
502,796539	-0,404760	278,000000	706,000000
502,997528	-0,405270	282,000000	717,000000
503,198517	-0,403972	286,000000	725,000000
503,399506	-0,404798	289,000000	734,000000
503,600494	-0,403536	293,000000	742,000000
503,801483	-0,402883	297,000000	751,000000
504,002472	-0,402247	301,000000	760,000000
504,203461	-0,403053	304,000000	769,000000
504,404449	-0,402987	308,000000	779,000000
504,605438	-0,403214	311,000000	787,000000
504,806427	-0,403983	314,000000	796,000000
505,007416	-0,402005	319,000000	805,000000
505,208405	-0,400888	323,000000	813,000000
505,409393	-0,401654	326,000000	822,000000
505,610382	-0,400564	330,000000	830,000000
505,811371	-0,401835	333,000000	840,000000
506,012360	-0,401789	337,000000	850,000000
506,213348	-0,401239	341,000000	859,000000
506,414337	-0,401461	344,000000	867,000000
506,615326	-0,400429	348,000000	875,000000
506,816315	-0,401636	351,000000	885,000000
507,017303	-0,401109	355,000000	894,000000
507,218292	-0,400112	359,000000	902,000000
507,419281	-0,399612	363,000000	911,000000
507,620270	-0,399122	367,000000	920,000000
507,821259	-0,398642	371,000000	929,000000
508,022247	-0,397708	375,000000	937,000000
508,223236	-0,398399	378,000000	946,000000
508,424225	-0,397485	382,000000	954,000000
508,625214	-0,397039	386,000000	963,000000
508,826202	-0,397717	389,000000	972,000000
509,027191	-0,397276	393,000000	981,000000
509,228180	-0,395527	397,000000	987,000000
509,429169	-0,397286	399,000000	996,000000
509,630157	-0,395352	404,000000	1004,000000
509,831146	-0,396444	407,000000	1014,000000
510,032135	-0,393277	412,000000	1019,000000
510,233124	-0,395415	414,000000	1029,000000
510,434113	-0,394384	417,000000	1034,000000
510,635101	-0,394002	421,000000	1043,000000
510,836090	-0,393214	425,000000	1051,000000
511,037079	-0,393042	428,000000	1058,000000
511,238068	-0,393280	431,000000	1066,000000
511,439056	-0,392705	434,000000	1072,000000
511,640045	-0,392352	438,000000	1081,000000
511,841034	-0,392190	441,000000	1088,000000
512,041992	-0,392031	444,000000	1095,000000
512,242981	-0,392084	448,000000	1105,000000
512,443970	-0,391928	451,000000	1112,000000
512,644958	-0,391774	454,000000	1119,000000
512,845947	-0,390673	458,000000	1126,000000
513,046936	-0,389762	461,000000	1131,000000
513,247925	-0,390006	464,000000	1139,000000
513,448914	-0,389868	467,000000	1146,000000
513,649902	-0,389731	470,000000	1153,000000
513,850891	-0,388680	474,000000	1160,000000
514,051880	-0,389836	476,000000	1168,000000
514,252869	-0,389702	479,000000	1175,000000
514,453857	-0,388670	483,000000	1182,000000
514,654846	-0,387814	486,000000	1187,000000
514,855835	-0,387695	489,000000	1194,000000
515,056824	-0,387375	491,000000	1198,000000
515,257812	-0,387980	494,000000	1207,000000
515,458801	-0,388021	496,000000	1212,000000
515,659790	-0,387903	499,000000	1219,000000
515,860779	-0,387078	502,000000	1224,000000
516,061768	-0,387121	504,000000	1229,000000
516,262756	-0,387011	507,000000	1236,000000
516,463745	-0,386202	510,000000	1241,000000
516,664734	-0,385749	513,000000	1247,000000
516,865723	-0,384955	516,000000	1252,000000
517,066711	-0,385351	518,000000	1258,000000
517,267700	-0,383389	522,000000	1262,000000
517,468689	-0,383445	524,000000	1267,000000
517,669678	-0,383843	526,000000	1273,000000
517,870667	-0,383075	529,000000	1278,000000
518,071655	-0,382315	532,000000	1283,000000
518,272644	-0,382375	534,000000	1288,000000
518,473633	-0,381761	536,000000	1291,000000
518,674622	-0,382158	538,000000	1297,000000
518,875610	-0,381414	541,000000	1302,000000
519,076599	-0,381476	543,000000	1307,000000
519,277588	-0,381206	545,000000	1311,000000
519,478577	-0,381269	547,000000	1316,000000
519,679565	-0,381330	549,000000	1321,000000
519,880554	-0,381392	551,000000	1326,000000
520,081543	-0,380342	554,000000	1330,000000
520,282532	-0,380081	556,000000	1334,000000
520,483521	-0,379497	558,000000	1337,000000
520,684509	-0,378917	560,000000	1340,000000
520,885498	-0,378986	562,000000	1345,000000
521,086487	-0,378733	564,000000	1349,000000
521,287476	-0,378802	566,000000	1354,000000
521,488464	-0,378677	567,000000	1356,000000
521,689453	-0,378746	569,000000	1361,000000
521,890442	-0,378497	571,000000	1365,000000
522,091431	-0,378566	573,000000	1370,000000
522,292419	-0,378442	574,000000	1372,000000
522,493408	-0,377880	576,000000	1375,000000
522,694397	-0,377951	578,000000	1380,000000
522,895386	-0,377708	580,000000	1384,000000
523,096375	-0,376840	582,000000	1386,000000
523,297363	-0,376289	584,000000	1389,000000
523,498352	-0,376483	585,000000	1392,000000
523,699341	-0,377610	586,000000	1398,000000
523,900330	-0,377371	588,000000	1402,000000
524,101318	-0,377252	589,000000	1404,000000
524,302307	-0,378059	590,000000	1409,000000
524,503296	-0,377940	591,000000	1411,000000
524,704285	-0,376663	594,000000	1414,000000
524,905273	-0,376853	595,000000	1417,000000
525,106262	-0,376736	596,000000	1419,000000
525,307251	-0,376925	597,000000	1422,000000
525,508240	-0,376388	599,000000	1425,000000
525,709229	-0,375664	600,000000	1425,000000
525,910217	-0,376765	601,000000	1431,000000
526,111206	-0,376347	602,000000	1432,000000
526,312195	-0,375815	604,000000	1435,000000
526,513184	-0,376004	605,000000	1438,000000
526,714172	-0,375588	606,000000	1439,000000
526,915161	-0,375174	607,000000	1440,000000
527,116150	-0,375964	608,000000	1445,000000
527,317139	-0,376265	608,000000	1446,000000
527,518127	-0,375439	610,000000	1448,000000
527,719116	-0,375327	611,000000	1450,000000
527,920105	-0,375514	612,000000	1453,000000
528,121094	-0,375104	613,000000	1454,000000
528,322083	-0,375291	614,000000	1457,000000
528,523071	-0,375887	614,000000	1459,000000
528,724060	-0,375478	615,000000	1460,000000
528,925049	-0,375367	616,000000	1462,000000
529,126038	-0,375552	617,000000	1465,000000
529,327026	-0,375738	618,000000	1468,000000
529,528015	-0,375738	618,000000	1468,000000
529,729004	-0,375331	619,000000	1469,000000
529,929993	-0,375221	620,000000	1471,000000
530,130981	-0,374521	621,000000	1471,000000
530,331970	-0,375406	621,000000	1474,000000
530,532959	-0,375700	621,000000	1475,000000
530,733948	-0,375590	622,000000	1477,000000
530,934937	-0,375884	622,000000	1478,000000
531,135925	-0,376067	623,000000	1481,000000
531,336914	-0,375774	623,000000	1480,000000
531,537903	-0,376946	623,000000	1484,000000
531,738892	-0,376249	624,000000	1484,000000
531,939880	-0,376834	624,000000	1486,000000
532,140869	-0,376723	625,000000	1488,000000
532,341858	-0,377418	624,000000	1488,000000
532,542847	-0,377306	625,000000	1490,000000
532,743835	-0,377306	625,000000	1490,000000
532,944824	-0,377194	626,000000	1492,000000
533,145813	-0,377485	626,000000	1493,000000
533,346802	-0,377776	626,000000	1494,000000
533,547791	-0,377374	627,000000	1495,000000
533,748779	-0,377954	627,000000	1497,000000
533,949768	-0,377664	627,000000	1496,000000
534,150757	-0,377954	627,000000	1497,000000
534,351746	-0,377954	627,000000	1497,000000
534,552734	-0,378244	627,000000	1498,000000
534,753723	-0,378244	627,000000	1498,000000
534,954712	-0,378534	627,000000	1499,000000
535,155701	-0,378534	627,000000	1499,000000
535,356689	-0,378534	627,000000	1499,000000
535,557678	-0,378824	627,000000	1500,000000
535,758667	-0,379113	627,000000	1501,000000
535,959656	-0,379402	627,000000	1502,000000
536,160645	-0,378421	628,000000	1501,000000
536,361633	-0,379113	627,000000	1501,000000
536,562622	-0,379402	627,000000	1502,000000
536,763611	-0,379113	627,000000	1501,000000
536,964600	-0,379113	627,000000	1501,000000
537,165588	-0,379113	627,000000	1501,000000
537,366577	-0,379402	627,000000	1502,000000
537,567566	-0,379691	627,000000	1503,000000
537,768494	-0,379691	627,000000	1503,000000
537,969482	-0,379691	627,000000	1503,000000
538,170471	-0,380385	626,000000	1503,000000
538,371460	-0,380096	626,000000	1502,000000
538,572449	-0,380385	626,000000	1503,000000
538,773437	-0,380385	626,000000	1503,000000
538,974426	-0,379806	626,000000	1501,000000
539,175415	-0,380096	626,000000	1502,000000
539,376404	-0,380501	625,000000	1501,000000
539,577393	-0,380790	625,000000	1502,000000
539,778381	-0,381079	625,000000	1503,000000
539,979370	-0,380907	624,000000	1500,000000
540,180359	-0,381893	623,000000	1501,000000
540,381348	-0,380907	624,000000	1500,000000
540,582336	-0,381024	623,000000	1498,000000
540,783325	-0,381314	623,000000	1499,000000
540,984314	-0,381721	622,000000	1498,000000
541,185303	-0,381024	623,000000	1498,000000
541,386292	-0,381431	622,000000	1497,000000
541,587280	-0,381840	621,000000	1496,000000
541,788269	-0,382130	621,000000	1497,000000
541,989258	-0,382250	620,000000	1495,000000
542,190247	-0,382250	620,000000	1495,000000
542,391235	-0,382250	620,000000	1495,000000
542,592224	-0,382660	619,000000	1494,000000
542,793213	-0,382369	619,000000	1493,000000
542,994202	-0,383071	618,000000	1493,000000
543,195190	-0,383484	617,000000	1492,000000
543,396179	-0,383484	617,000000	1492,000000
543,597168	-0,383192	617,000000	1491,000000
543,798157	-0,383022	616,000000	1488,000000
543,999146	-0,383728	615,000000	1488,000000
544,200134	-0,383144	615,000000	1486,000000
544,401123	-0,383144	615,000000	1486,000000
544,602112	-0,383973	613,000000	1484,000000
544,803101	-0,383388	613,000000	1482,000000
545,004089	-0,383095	613,000000	1481,000000
545,205078	-0,383510	612,000000	1480,000000
545,406067	-0,382923	612,000000	1478,000000
545,607056	-0,383339	611,000000	1477,000000
545,808044	-0,383339	611,000000	1477,000000
546,009033	-0,384175	609,000000	1475,000000
546,210022	-0,384888	608,000000	1475,000000
546,411011	-0,384299	608,000000	1473,000000
546,612000	-0,383414	608,000000	1470,000000
546,812988	-0,384129	607,000000	1470,000000
547,013977	-0,384549	606,000000	1469,000000
547,214966	-0,384675	605,000000	1467,000000
547,415955	-0,384675	605,000000	1467,000000
547,616943	-0,384801	604,000000	1465,000000
547,817932	-0,384801	604,000000	1465,000000
548,018921	-0,385351	602,000000	1462,000000
548,219910	-0,384756	602,000000	1460,000000
548,420898	-0,385181	601,000000	1459,000000
548,621887	-0,386202	600,000000	1460,000000
548,822876	-0,385735	599,000000	1456,000000
549,023865	-0,385265	598,000000	1452,000000
549,224854	-0,385992	597,000000	1452,000000
549,425842	-0,386421	596,000000	1451,000000
549,626831	-0,386122	596,000000	1450,000000
549,827820	-0,386252	595,000000	1448,000000
550,028809	-0,386682	594,000000	1447,000000
550,229797	-0,386512	593,000000	1444,000000
550,430786	-0,386644	592,000000	1442,000000
550,631775	-0,387076	591,000000	1441,000000
550,832764	-0,386775	591,000000	1440,000000
551,033752	-0,386605	590,000000	1437,000000
551,234741	-0,387039	589,000000	1436,000000
551,435730	-0,387039	589,000000	1436,000000
551,636719	-0,387475	588,000000	1435,000000
551,837708	-0,387002	587,000000	1431,000000
552,038696	-0,387438	586,000000	1430,000000
552,239685	-0,387572	585,000000	1428,000000
552,440674	-0,388011	584,000000	1427,000000
552,641663	-0,387402	584,000000	1425,000000
552,842651	-0,386926	583,000000	1421,000000
553,043640	-0,386314	583,000000	1419,000000
